epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,8440.9,1.20407,12.3567,0.92587,0.42359,0.35806,0.35777,0.23731,1.09102,10.1426,0.85518,0.00016106,0.00016106,0.00016106
61,8624.67,1.1788,12.1065,0.92753,0.43607,0.30427,0.36696,0.22979,1.08458,10.1623,0.86156,0.0001604,0.0001604,0.0001604
62,8807.7,1.19674,12.2296,0.92664,0.41796,0.29783,0.37227,0.24637,1.05182,10.0023,0.85281,0.00015974,0.00015974,0.00015974
63,8992.5,1.20249,12.4439,0.9421,0.45101,0.32612,0.37861,0.23899,1.07526,10.0883,0.85879,0.00015908,0.00015908,0.00015908
64,9173.73,1.19349,12.3826,0.92805,0.46155,0.30576,0.36755,0.23909,1.11145,9.96611,0.85728,0.00015842,0.00015842,0.00015842
65,9357.28,1.17556,12.0577,0.92227,0.39272,0.39592,0.40567,0.26766,0.98752,9.75308,0.84363,0.00015776,0.00015776,0.00015776
66,9542,1.18394,12.248,0.92061,0.4834,0.30622,0.39535,0.27342,1.0096,9.74842,0.83707,0.0001571,0.0001571,0.0001571
67,9723.24,1.2008,12.1589,0.93216,0.44615,0.31672,0.39377,0.27317,0.85266,9.64077,0.83081,0.00015644,0.00015644,0.00015644
68,9916.74,1.175,12.2254,0.92151,0.54226,0.28345,0.38584,0.26328,0.93805,9.69086,0.8365,0.00015578,0.00015578,0.00015578
69,10106.3,1.17824,12.1875,0.92596,0.54676,0.28597,0.39583,0.25404,1.06791,9.86706,0.84905,0.00015512,0.00015512,0.00015512
70,10289.6,1.18349,11.9982,0.93529,0.56647,0.27047,0.38866,0.25749,0.97939,9.91542,0.84911,0.00015446,0.00015446,0.00015446
71,10474.2,1.1784,12.003,0.92782,0.476,0.28621,0.39217,0.26945,0.95007,9.59831,0.84261,0.0001538,0.0001538,0.0001538
72,10659.4,1.15206,11.8288,0.91169,0.57781,0.2853,0.39065,0.25595,1.05166,9.79109,0.85238,0.00015314,0.00015314,0.00015314
73,10837.8,1.13659,11.8105,0.90756,0.50621,0.30669,0.40496,0.27822,0.96364,9.63871,0.84718,0.00015248,0.00015248,0.00015248
74,11014.4,1.14635,11.85,0.91637,0.61858,0.27453,0.40855,0.2698,0.9878,9.68896,0.84813,0.00015182,0.00015182,0.00015182
75,11199.6,1.18014,11.8263,0.92975,0.58237,0.29995,0.40933,0.27152,0.97246,9.61772,0.84371,0.00015116,0.00015116,0.00015116
76,11387,1.16471,11.82,0.91919,0.62453,0.30081,0.41853,0.26385,0.99814,9.58376,0.85177,0.0001505,0.0001505,0.0001505
77,11571.1,1.18622,11.9308,0.93049,0.57112,0.32185,0.434,0.27594,1.01353,9.57878,0.84539,0.00014984,0.00014984,0.00014984
78,11753.9,1.12937,11.7607,0.91849,0.59742,0.29619,0.42083,0.25429,1.06221,9.64476,0.85812,0.00014918,0.00014918,0.00014918
79,11939,1.15645,11.7059,0.92031,0.62844,0.2819,0.42731,0.27265,1.01415,9.64914,0.85438,0.00014852,0.00014852,0.00014852
80,12125.7,1.16558,11.9326,0.911,0.51839,0.31961,0.42632,0.28662,1.04163,9.5934,0.85043,0.00014786,0.00014786,0.00014786
81,12300.9,1.17087,11.8795,0.9173,0.59944,0.29999,0.41885,0.27951,1.04205,9.46547,0.85191,0.0001472,0.0001472,0.0001472
82,12471.2,1.16741,11.8299,0.9219,0.51004,0.29958,0.41011,0.27739,1.0015,9.46261,0.84764,0.00014654,0.00014654,0.00014654
