epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,320.684,2.03126,3.99273,0.95488,0.2907,0.07504,0.03764,0.02282,1.71184,3.38051,0.79784,0.00139801,0.000976064,0.000976064
60,1008.57,1.10642,1.93139,0.84854,0.32966,0.3493,0.34573,0.22839,0.90739,1.6711,0.7354,0.0004159,0.0004159,0.0004159
61,1024.57,1.10908,1.92277,0.8537,0.23193,0.56713,0.32813,0.22923,0.80781,1.70374,0.73227,0.000406,0.000406,0.000406
62,1040.26,1.03139,1.8606,0.83141,0.24098,0.48679,0.35037,0.23398,0.87464,1.66502,0.72897,0.0003961,0.0003961,0.0003961
63,1055.94,1.05414,1.86006,0.83686,0.26068,0.54319,0.35258,0.2484,0.88334,1.66001,0.72709,0.0003862,0.0003862,0.0003862
64,1072.26,1.06722,1.88045,0.82543,0.33998,0.39578,0.36377,0.24664,0.88667,1.63704,0.72379,0.0003763,0.0003763,0.0003763
65,1087.77,1.06001,1.92673,0.8568,0.25399,0.48657,0.35474,0.2504,0.84785,1.64223,0.73066,0.0003664,0.0003664,0.0003664
66,1104.91,1.09548,1.86786,0.83907,0.38965,0.39325,0.37366,0.25569,0.83878,1.67527,0.73299,0.0003565,0.0003565,0.0003565
4,420.183,1.94174,3.69471,0.94479,0.06534,0.0474,0.03491,0.02408,1.5996,3.20321,0.8062,0.0009703,0.0009703,0.0009703
67,1121.41,1.12652,1.87662,0.84361,0.35082,0.39423,0.36009,0.24611,0.8627,1.67007,0.73568,0.0003466,0.0003466,0.0003466
68,1136.57,0.97624,1.79889,0.82574,0.27959,0.40194,0.35681,0.24523,0.90795,1.65241,0.72797,0.0003367,0.0003367,0.0003367
69,1152.34,1.072,1.87694,0.85341,0.23729,0.54461,0.35144,0.23219,1.04119,1.68216,0.73624,0.0003268,0.0003268,0.0003268
70,1168.17,1.05271,1.84414,0.83375,0.30979,0.45807,0.37033,0.25437,0.87876,1.66169,0.73168,0.0003169,0.0003169,0.0003169
71,1183.93,1.05848,1.85652,0.85958,0.3062,0.42019,0.36735,0.25336,0.84739,1.671,0.72946,0.000307,0.000307,0.000307
72,1199.24,1.01388,1.84516,0.8313,0.31512,0.40001,0.36723,0.25888,0.82279,1.65602,0.72842,0.0002971,0.0002971,0.0002971
5,516.702,1.8049,3.46551,0.93007,0.10302,0.22077,0.07781,0.05533,1.52378,3.02425,0.79582,0.0009604,0.0009604,0.0009604
73,1215.99,1.03041,1.82997,0.83446,0.37995,0.30411,0.37282,0.25905,0.84997,1.64088,0.73221,0.0002872,0.0002872,0.0002872
74,1232.01,1.01436,1.86476,0.83772,0.26961,0.49204,0.35717,0.25348,0.84838,1.65772,0.74063,0.0002773,0.0002773,0.0002773
75,1247.5,1.05938,1.85876,0.83995,0.51113,0.28484,0.38903,0.26803,0.79593,1.6351,0.72996,0.0002674,0.0002674,0.0002674
76,1263.38,1.03658,1.84919,0.8434,0.36039,0.40029,0.3932,0.27251,0.88999,1.65122,0.73623,0.0002575,0.0002575,0.0002575
77,1279,1.01951,1.8233,0.84039,0.32724,0.40178,0.38644,0.27071,0.85397,1.62568,0.73001,0.0002476,0.0002476,0.0002476
78,1296.74,1.02498,1.8461,0.83194,0.29039,0.44741,0.3746,0.26191,0.78211,1.62038,0.72825,0.0002377,0.0002377,0.0002377
6,614.919,1.75087,3.3225,0.92888,0.12996,0.24021,0.09276,0.05273,1.78519,2.92918,0.81534,0.0009505,0.0009505,0.0009505
79,1313.53,1.03285,1.83152,0.85735,0.23419,0.53391,0.35453,0.25426,0.84811,1.66752,0.73856,0.0002278,0.0002278,0.0002278
